图书名称,图书别称,图书链接,图书封面,图书出版信息,图书星数,图书评论数
独唱团（第一辑）,,http://book.douban.com/subject/4886245/,http://img3.douban.com/lpic/s4436571.jpg,韩寒 主编 / 书海出版社 / 2010-7-6 / 16.00元,7.8,77845
致我们终将逝去的青春,,http://book.douban.com/subject/2209098/,http://img3.douban.com/lpic/s2652662.jpg,辛夷坞 / 朝华出版社 / 2007-8 / 25.00元,7.9,75799
哈利·波特与密室,Harry Potter And The Chamber Of Secrets,http://book.douban.com/subject/1039487/,http://img3.douban.com/lpic/s1557672.jpg,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2000-9 / 22.00元,8.8,63713
莲花,,http://book.douban.com/subject/1529893/,http://img3.doubanio.com/lpic/s1513548.jpg,安妮宝贝 / 作家出版社 / 2006-3 / 25.00元,8.0,75272
1Q84 BOOK 1, : 4月～6月 ,http://book.douban.com/subject/4742918/,http://img3.douban.com/lpic/s4363464.jpg,[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元,8.3,70012
向左走·向右走,,http://book.douban.com/subject/1066462/,http://img3.douban.com/lpic/s1557610.jpg,幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,8.4,68079
狼图腾,,http://book.douban.com/subject/1022060/,http://img3.douban.com/lpic/s1466042.jpg,姜戎 / 长江文艺出版社 / 2004-4 / 32.00元,8.3,68245
哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,http://book.douban.com/subject/1009257/,http://img3.doubanio.com/lpic/s1072746.jpg,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2001-5 / 39.80元,8.9,64087
目送,,http://book.douban.com/subject/3995526/,http://img3.doubanio.com/lpic/s3984108.jpg,龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元,8.7,64630
万历十五年,,http://book.douban.com/subject/1041482/,http://img3.douban.com/lpic/s1800355.jpg,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,8.9,49605
微微一笑很倾城,,http://book.douban.com/subject/3879301/,http://img3.doubanio.com/lpic/s10320248.jpg,顾漫 / 江苏文艺出版社 / 2009-8 / 25.00,8.2,65592
三体Ⅱ, : 黑暗森林 ,http://book.douban.com/subject/3066477/,http://img3.douban.com/lpic/s4542660.jpg,刘慈欣 / 重庆出版社 / 2008-5 / 32.00,9.3,59256
三体Ⅲ, : 死神永生 ,http://book.douban.com/subject/5363767/,http://img3.douban.com/lpic/s26012674.jpg,刘慈欣 / 重庆出版社 / 2010-12-1 / 38.00元,9.2,59168
悲伤逆流成河,,http://book.douban.com/subject/2062200/,http://img3.douban.com/lpic/s2405994.jpg,郭敬明 / 长江文艺出版社 / 2007-5 / 24.00元,6.4,78196
长安乱,,http://book.douban.com/subject/1049219/,http://img3.doubanio.com/lpic/s1563589.jpg,韩寒 / 中国青年出版社 / 2004-8 / 20.00元,7.4,69559
边城,,http://book.douban.com/subject/1057244/,http://img3.doubanio.com/lpic/s1595557.jpg,沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元,8.6,56205
天龙八部,,http://book.douban.com/subject/1255625/,http://img3.doubanio.com/lpic/s23632058.jpg,金庸 / 生活.读书.新知三联书店 / 1994-5 / 96.0,9.0,50242
1995-2005夏至未至,,http://book.douban.com/subject/1049189/,http://img3.douban.com/lpic/s1302594.jpg,郭敬明 / 春风文艺出版社 / 2005-2 / 24.00元,7.4,65373
